#sample=2490
0 0.0010762 7.09861e-06 1 0
1 0.00110942 1.47362e-05 1 0
2 0.00113202 1.93588e-05 1 0
3 0.00121739 2.5177e-05 1 0
4 0.00126798 3.16736e-05 1 0
5 0.00130558 3.08631e-05 1 0
6 0.00143715 3.96698e-05 1 0
7 0.00154507 4.44684e-05 1 0
8 0.00157917 4.73587e-05 1 0
9 0.00175227 5.31384e-05 1 0
10 0.0018357 5.59368e-05 1 0
11 0.00204161 6.5508e-05 1 0
12 0.00218164 7.09065e-05 1 0
13 0.00226715 7.31924e-05 1 0
14 0.00248186 7.99625e-05 1 0
15 0.00270042 8.7222e-05 1 0
16 0.00275961 8.45758e-05 1 0
17 0.00292629 9.21931e-05 1 0
18 0.00309359 9.48543e-05 1 0
19 0.00326646 0.000100515 1 0
20 0.00353145 0.000107964 1 0
21 0.00360394 0.000110655 1 0
22 0.00394647 0.000119017 1 0
23 0.00421962 0.000126334 1 0
24 0.00455033 0.000132941 1 0
25 0.00492736 0.000139919 1 0
26 0.00513831 0.000142445 1 0
27 0.00532405 0.000149405 1 0
28 0.00561585 0.000158862 1 0
29 0.00587022 0.000163973 1 0
30 0.0062512 0.00016984 1 0
31 0.00644597 0.000175103 1 0
32 0.00670356 0.000182727 1 0
33 0.00702141 0.000189366 1 0
34 0.00721482 0.000194278 1 0
35 0.00749633 0.000198723 1 0
36 0.00791933 0.000210067 1 0
37 0.00811838 0.000217312 1 0
38 0.00844115 0.00022397 1 0
39 0.00886625 0.000231259 1 0
40 0.00929375 0.00023943 1 0
41 0.00961755 0.000249079 1 0
42 0.00977811 0.000251534 1 0
43 0.0102033 0.000259366 1 0
44 0.0104118 0.000264543 1 0
45 0.0109193 0.000275802 1 0
46 0.011276 0.000285041 1 0
47 0.0115468 0.000289394 1 0
48 0.0117119 0.000289594 1 0
49 0.0121623 0.000301933 1 0
50 0.0125243 0.000308565 1 0
51 0.0131925 0.000326275 1 0
52 0.0136083 0.000334001 1 0
53 0.0138767 0.000340847 1 0
54 0.0141633 0.000347047 1 0
55 0.0145832 0.000354191 1 0
56 0.0149567 0.000363069 1 0
57 0.0152726 0.000369475 1 0
58 0.0157143 0.000382613 1 0
59 0.0161675 0.000393819 1 0
60 0.0166404 0.000407328 1 0
61 0.0169021 0.000412327 1 0
62 0.0175016 0.000422945 1 0
63 0.0179109 0.000435761 1 0
64 0.0182238 0.000444 1 0
65 0.0187358 0.000454729 1 0
66 0.0191103 0.000468982 1 0
67 0.0195531 0.000476502 1 0
68 0.0198637 0.000481563 1 0
69 0.0203224 0.000492895 1 0
70 0.0210725 0.000512455 1 0
71 0.0216409 0.000522489 1 0
72 0.0219683 0.000530158 1 0
73 0.0224857 0.000543849 1 0
74 0.0232304 0.000556286 1 0
75 0.0238715 0.000571286 1 0
76 0.0242793 0.000575863 1 0
77 0.0246807 0.000583039 1 0
78 0.0252828 0.000599059 1 0
79 0.0259173 0.000611932 1 0
80 0.0265758 0.000626712 1 0
81 0.0268633 0.000631126 1 0
82 0.0275658 0.000645785 1 0
83 0.0279545 0.000655289 1 0
84 0.0289632 0.0006752 1 0
85 0.029522 0.000688651 1 0
86 0.0299919 0.000699043 1 0
87 0.0307676 0.000713952 1 0
88 0.0314364 0.000730528 1 0
89 0.0320074 0.000743125 1 0
90 0.0329505 0.000764849 1 0
91 0.0333757 0.000773856 1 0
92 0.0342603 0.000791669 1 0
93 0.0347319 0.000799305 1 0
94 0.0356689 0.000823828 1 0
95 0.0364914 0.000844188 1 0
96 0.037355 0.000858223 1 0
97 0.037898 0.000869496 1 0
98 0.038866 0.000885913 1 0
99 0.0396615 0.0009017 1 0
100 0.0404982 0.000930434 1 0
101 0.0415431 0.000957571 1 0
102 0.0422579 0.000978742 1 0
103 0.043359 0.000996318 1 0
104 0.0445968 0.00102319 1 0
105 0.0456284 0.00105538 1 0
106 0.0467339 0.00107463 1 0
107 0.0474963 0.00109017 1 0
108 0.0484984 0.00111215 0.999598 0.000401606
109 0.0496051 0.00113953 1 0
110 0.0503739 0.00115173 0.999197 0.000567843
111 0.0517952 0.00118123 0.998795 0.000695323
112 0.0528156 0.00119799 0.999598 0.000401606
113 0.0535561 0.00121618 1 0
114 0.0545729 0.00124029 1 0
115 0.0555454 0.00127131 0.999598 0.000401606
116 0.0564854 0.00129047 0.999197 0.000567843
117 0.0574567 0.00131023 0.999197 0.000567843
118 0.058514 0.00132931 0.999598 0.000401606
119 0.0593502 0.00134426 0.999598 0.000401606
120 0.0605212 0.00137127 0.999598 0.000401606
121 0.0617448 0.00140235 0.998795 0.000695323
122 0.0626478 0.00142613 0.998394 0.000802729
123 0.0637159 0.00145365 0.997992 0.000897297
124 0.0648772 0.00147304 0.99759 0.000982742
125 0.0660628 0.00150356 0.997992 0.000897297
126 0.0670035 0.0015246 0.997189 0.00106127
127 0.0683842 0.0015522 0.996787 0.00113432
128 0.0694622 0.0015804 0.994378 0.00149874
129 0.0703726 0.00160107 0.995181 0.00138813
130 0.0712084 0.00162338 0.993976 0.00155103
131 0.0723362 0.00165121 0.994378 0.00149874
132 0.0736642 0.00167015 0.991968 0.00178917
133 0.074438 0.00167192 0.993574 0.00160158
134 0.0754357 0.0016925 0.991566 0.00183298
135 0.0769111 0.00171971 0.991165 0.00187574
136 0.0783423 0.00175265 0.991165 0.00187574
137 0.0793447 0.00178508 0.989558 0.00203749
138 0.0800912 0.00179698 0.988353 0.00215052
139 0.0811373 0.00181691 0.98755 0.00222253
140 0.081515 0.00181321 0.987149 0.00225764
