#P
1	0.00112227  2.60198e-05  1  0
2	0.162601  0.00206809  0.80955  0.00262508
3	0.191338  0.00144997  0.790067  0.00164173
4	0.244301  0.00154514  0.719843  0.00204678
5	0.259114  0.00144847  0.717392  0.00177297
6	0.286606  0.00162881  0.675845  0.00221741
7	0.292181  0.00153389  0.680385  0.00202423
8	0.313858  0.00164546  0.649232  0.00230111 











